Design_Point,radius_1,x_1,y_1,radius_2,x_2,y_2,radius_3,x_3,y_3,Point_Turbine_Velocity,Plane_Turbine_Velocity,Ideal_Turbine_Thrust,Ideal_Turbine_Power,Ringed_Duct_Thrust
44,0.014,0.305,0.607,0.012,0.2,0.61,0.014,0.347,0.612,1.09555,1.07148,802.575,859.946,88.4958
45,0.0245,0.278,0.649,0.0235,0.227,0.62,0.014,0.299,0.608,1.2587,1.30081,802.709,1044.17,289.085
46,0.012,0.185,0.619,0.0175,0.284,0.668,0.021,0.244,0.649,1.09493,1.07712,802.544,864.433,98.8997
47,0.0185,0.2,0.656,0.014,0.345,0.627,0.0185,0.267,0.664,1.10529,1.08963,802.555,874.491,123.794
48,0.0135,0.381,0.643,0.0105,0.257,0.678,0.0115,0.174,0.673,1.09217,1.05416,802.557,846.025,95.2069
49,0.0235,0.224,0.624,0.0195,0.316,0.632,0.0235,0.369,0.633,1.15013,1.14285,802.585,917.235,171.791
50,0.015,0.211,0.667,0.011,0.337,0.609,0.0125,0.264,0.61,1.114,1.09172,802.571,876.184,116.627
51,0.019,0.321,0.645,0.02,0.178,0.658,0.019,0.349,0.611,1.0867,1.05997,802.498,850.624,118.757
52,0.017,0.373,0.618,0.02,0.332,0.659,0.014,0.275,0.639,1.10798,1.0917,802.576,876.17,113.074
53,0.02,0.216,0.65,0.0135,0.273,0.613,0.021,0.33,0.667,1.17625,1.18674,802.619,952.503,210.825
54,0.014,0.184,0.61,0.014,0.179,0.661,0.0105,0.363,0.675,1.05957,1.01935,802.467,817.992,85.6637
55,0.0244,0.2798,0.648,0.0238,0.2378,0.6205,0.0143,0.2965,0.6104,1.20476,1.21489,802.589,975.057,219.699
56,0.0245,0.2772,0.6494,0.0234,0.222,0.6198,0.0138,0.3003,0.6069,1.16778,1.17182,802.575,940.478,190.963
57,0.0245,0.2782,0.6489,0.0235,0.2283,0.6201,0.014,0.2987,0.6083,1.20318,1.2261,802.627,984.099,239.08
58,0.0149,0.3733,0.6685,0.0171,0.2662,0.6333,0.023,0.3386,0.6228,1.13571,1.13238,802.604,908.855,153.063
59,0.0165,0.2527,0.65,0.0216,0.3094,0.6166,0.0223,0.2003,0.6612,1.15448,1.15294,802.597,925.349,161.457
60,0.018,0.2736,0.6117,0.0155,0.2953,0.6736,0.021,0.3749,0.6609,1.26318,1.29575,802.738,1040.15,279.025
61,0.0188,0.3436,0.6542,0.0235,0.2641,0.6438,0.0152,0.2004,0.6394,1.21755,1.24364,802.714,998.287,252.858
62,0.018,0.2739,0.6115,0.0155,0.2955,0.6739,0.021,0.3749,0.6608,1.21088,1.22325,802.662,981.853,222.875
63,0.0189,0.3439,0.6541,0.0233,0.2642,0.6438,0.0151,0.2002,0.6396,1.19907,1.21855,802.677,978.106,224.521
64,0.018,0.2735,0.6118,0.0155,0.2952,0.6735,0.021,0.3749,0.661,1.26326,1.29497,802.745,1039.53,279.864
65,0.0165,0.2178,0.6369,0.0205,0.3466,0.645,0.0205,0.2611,0.6288,1.12793,1.11594,802.57,895.621,139.171
66,0.0149,0.3764,0.6664,0.017,0.2726,0.6349,0.0239,0.3321,0.6222,1.15338,1.14778,802.63,921.241,152.201
67,0.0243,0.2994,0.6437,0.0119,0.388,0.6402,0.0222,0.2483,0.6576,1.1852,1.19608,802.649,960.032,197.274
68,0.0245,0.2779,0.649,0.0235,0.2264,0.6199,0.014,0.2991,0.6079,1.22809,1.25841,802.659,1010.07,264.913
69,0.0145,0.2463,0.6295,0.0156,0.3694,0.6677,0.0186,0.3223,0.6578,1.08269,1.05051,802.529,843.067,69.1786
70,0.0148,0.2353,0.6637,0.0229,0.3455,0.6208,0.0207,0.1767,0.6664,1.08732,1.0585,802.518,849.465,83.8446
71,0.0129,0.3067,0.6728,0.0214,0.2483,0.6518,0.0155,0.2882,0.626,1.20483,1.21895,802.68,978.43,215.39
72,0.0188,0.3435,0.6541,0.0236,0.264,0.6438,0.0151,0.2007,0.6399,1.21209,1.23611,802.705,992.233,231.108
73,0.019,0.3113,0.622,0.0183,0.3674,0.6495,0.0107,0.2649,0.6044,1.18536,1.19729,802.701,961.065,186.287
74,0.0245,0.278,0.649,0.0235,0.2271,0.6201,0.014,0.299,0.608,1.26301,1.30663,802.715,1048.85,295.4
75,0.0205,0.2459,0.6551,0.0205,0.2849,0.62,0.0235,0.1795,0.6581,1.22388,1.24784,802.645,1001.57,246.519
76,0.018,0.2735,0.6118,0.0155,0.2952,0.6735,0.021,0.3748,0.6609,1.24888,1.27588,802.715,1024.17,269.542
77,0.018,0.2735,0.6117,0.0155,0.2953,0.6735,0.021,0.3752,0.6612,1.25026,1.2778,802.717,1025.71,267.589
78,0.0245,0.278,0.6491,0.0235,0.2271,0.6201,0.014,0.2991,0.6079,1.24029,1.27149,802.675,1020.59,272.412
79,0.0129,0.3073,0.6715,0.0215,0.2483,0.6516,0.0154,0.2883,0.6278,1.16693,1.1673,802.618,936.898,173.412
80,0.018,0.2736,0.612,0.0155,0.295,0.6736,0.021,0.3752,0.6611,1.22732,1.24573,802.686,999.933,243.353
81,0.0245,0.278,0.6489,0.0235,0.227,0.6201,0.014,0.2989,0.6081,1.21691,1.24317,802.649,997.825,242.234
82,0.0161,0.2215,0.6169,0.0207,0.2778,0.6606,0.0164,0.323,0.6647,1.09517,1.0692,802.536,858.07,92.4425
83,0.0245,0.278,0.649,0.0235,0.2272,0.62,0.014,0.299,0.608,1.2622,1.3055,802.717,1047.95,294.547
84,0.0217,0.2433,0.6577,0.0118,0.3249,0.6065,0.0224,0.3313,0.6664,1.18805,1.19302,802.656,957.586,221.402
85,0.0131,0.3058,0.6735,0.0216,0.2504,0.652,0.0156,0.2871,0.6252,1.18686,1.20042,802.654,963.52,206.668
86,0.0189,0.3453,0.6539,0.0236,0.2632,0.6444,0.0153,0.1998,0.6396,1.18646,1.20129,802.646,964.21,228.225
87,0.0198,0.22,0.65,0.0135,0.2733,0.6133,0.0206,0.3311,0.666,1.18306,1.18741,802.625,953.042,209.912
88,0.018,0.2735,0.6117,0.0155,0.2953,0.6735,0.021,0.3749,0.661,1.24524,1.27041,802.717,1019.78,258.452
89,0.0116,0.3035,0.6602,0.0237,0.2255,0.6571,0.0107,0.2798,0.6233,1.1378,1.13569,802.608,911.514,155.68
90,0.0245,0.278,0.649,0.0235,0.2271,0.62,0.014,0.299,0.608,1.26159,1.3047,802.713,1047.3,294.067
91,0.02,0.2204,0.6504,0.0134,0.2789,0.6127,0.0209,0.3294,0.6664,1.1871,1.19343,802.624,957.877,218.223
92,0.0128,0.3048,0.6739,0.0212,0.2507,0.6521,0.0155,0.2865,0.6259,1.17273,1.17509,802.629,943.16,184.72
93,0.0189,0.3418,0.6546,0.0236,0.265,0.6435,0.0151,0.2002,0.6389,1.21662,1.23333,802.698,989.988,222.514
94,0.0245,0.278,0.649,0.0235,0.2272,0.62,0.014,0.299,0.608,1.2622,1.3055,802.717,1047.95,294.547
95,0.0245,0.278,0.649,0.0235,0.2271,0.6201,0.014,0.299,0.608,1.26301,1.30663,802.715,1048.85,295.4
96,0.018,0.2731,0.6116,0.0155,0.2954,0.6731,0.021,0.3735,0.6614,1.23795,1.26103,802.699,1012.23,253.495
97,0.0205,0.2462,0.6545,0.0206,0.2854,0.6197,0.0235,0.1766,0.6576,1.25502,1.2915,802.693,1036.68,282.102
98,0.0187,0.3439,0.6543,0.0235,0.2648,0.6434,0.015,0.1983,0.6389,1.22035,1.242,802.71,996.966,231.243
99,0.0187,0.3425,0.6542,0.0235,0.2658,0.6445,0.015,0.2011,0.6389,1.20947,1.22423,802.69,982.674,225.891
100,0.0180,0.2739,0.6115,0.0154,0.2956,0.6729,0.0210,0.3754,0.6611,1.26193,1.29363,802.74,1038.45,278.479
