Design_Point,radius_1,x_1,y_1,radius_2,x_2,y_2,radius_3,x_3,y_3,Point_Turbine_Velocity,Plane_Turbine_Velocity,Ideal_Turbine_Thrust,Ideal_Turbine_Power,Ringed_Duct_Thrust
44,0.014,0.305,0.607,0.012,0.2,0.61,0.014,0.347,0.612,1.09555,1.07148,802.575,859.946,88.4958
45,0.0245,0.278,0.649,0.0235,0.227,0.62,0.014,0.299,0.608,1.2587,1.30081,802.709,1044.17,289.085
46,0.012,0.185,0.619,0.0175,0.284,0.668,0.021,0.244,0.649,1.09493,1.07712,802.544,864.433,98.8997
47,0.0185,0.2,0.656,0.014,0.345,0.627,0.0185,0.267,0.664,1.10529,1.08963,802.555,874.491,123.794
48,0.0135,0.381,0.643,0.0105,0.257,0.678,0.0115,0.174,0.673,1.09217,1.05416,802.557,846.025,95.2069
49,0.0235,0.224,0.624,0.0195,0.316,0.632,0.0235,0.369,0.633,1.15013,1.14285,802.585,917.235,171.791
50,0.015,0.211,0.667,0.011,0.337,0.609,0.0125,0.264,0.61,1.114,1.09172,802.571,876.184,116.627
51,0.019,0.321,0.645,0.02,0.178,0.658,0.019,0.349,0.611,1.0867,1.05997,802.498,850.624,118.757
52,0.017,0.373,0.618,0.02,0.332,0.659,0.014,0.275,0.639,1.10798,1.0917,802.576,876.17,113.074
53,0.02,0.216,0.65,0.0135,0.273,0.613,0.021,0.33,0.667,1.17625,1.18674,802.619,952.503,210.825
54,0.014,0.184,0.61,0.014,0.179,0.661,0.0105,0.363,0.675,1.05957,1.01935,802.467,817.992,85.6637
55,0.0237,0.2797,0.6528,0.0242,0.2418,0.6203,0.0153,0.2825,0.612,1.26821,1.30571,802.676,1048.06,288.358
56,0.0198,0.2583,0.6524,0.0232,0.296,0.6277,0.0199,0.2206,0.6345,1.3206,1.37443,802.789,1103.38,350.82
57,0.0193,0.2637,0.6515,0.0245,0.3033,0.6284,0.0186,0.2296,0.6306,1.34415,1.41068,802.822,1132.53,395.188
58,0.01872,0.27072,0.65074,0.025,0.31045,0.62812,0.01807,0.24045,0.62648,1.23071,1.24836,802.683,1002.04,239.672
59,0.01957,0.2604,0.65185,0.02422,0.29982,0.62856,0.01887,0.22459,0.63253,1.2545,1.28843,802.715,1034.24,268.499
60,0.02409,0.27887,0.65094,0.02386,0.23455,0.62015,0.01466,0.29058,0.61004,1.27324,1.31012,802.678,1051.61,314.349
61,0.01918,0.26536,0.65139,0.02449,0.30476,0.62814,0.01862,0.23194,0.62977,1.3053,1.35757,802.778,1089.83,339.586
62,0.02031,0.20778,0.65163,0.01422,0.26904,0.6147,0.01983,0.32781,0.6673,1.15765,1.15291,802.601,925.326,173.816
63,0.01827,0.34391,0.65274,0.02349,0.2593,0.64662,0.01531,0.2016,0.64361,1.17412,1.18432,802.646,950.591,202.819
64,0.0176,0.27313,0.61348,0.01532,0.29481,0.67314,0.02109,0.36824,0.65686,1.24668,1.27963,802.735,1027.21,264.205
65,0.01958,0.26125,0.65221,0.02314,0.29837,0.62725,0.01996,0.22436,0.63311,1.32378,1.38647,802.802,1113.06,364.653
66,0.01981,0.26035,0.65288,0.02327,0.29776,0.62722,0.02027,0.223,0.63347,1.25248,1.28914,802.714,1034.81,271.641
67,0.01698,0.21726,0.63482,0.02088,0.34073,0.64117,0.02079,0.25835,0.62923,1.19724,1.20997,802.681,971.218,207.602
68,0.01675,0.21931,0.63809,0.02067,0.34507,0.64336,0.02129,0.27272,0.62861,1.19947,1.21539,802.675,975.56,212.922
69,0.01953,0.25988,0.65175,0.02302,0.29728,0.62755,0.01967,0.2228,0.63382,1.32002,1.37329,802.79,1102.46,340.702
70,0.01951,0.2598,0.6524,0.02343,0.2972,0.62749,0.01976,0.22325,0.63324,1.30343,1.35059,802.784,1084.23,319.154
71,0.01772,0.26659,0.61109,0.01546,0.30127,0.67376,0.02074,0.3705,0.65773,1.16235,1.15822,802.617,929.604,169.391
72,0.0167,0.21439,0.63627,0.01954,0.34429,0.64284,0.02093,0.26308,0.62857,1.13998,1.13043,802.589,907.267,150.726
73,0.01899,0.33902,0.65353,0.02348,0.26795,0.64138,0.01504,0.20998,0.64397,1.13498,1.13081,802.58,907.564,149.069
74,0.02413,0.27835,0.65162,0.02366,0.23819,0.62068,0.01536,0.28725,0.6111,1.26641,1.30251,802.664,1045.48,290.102
75,0.01984,0.26161,0.65168,0.02306,0.29959,0.62772,0.01977,0.22413,0.6336,1.31313,1.36992,802.791,1099.76,339.904
76,0.02455,0.27748,0.64971,0.02328,0.23083,0.62057,0.01475,0.29547,0.60913,1.27002,1.3045,802.688,1047.11,303.175
77,0.01934,0.26296,0.65145,0.02464,0.30294,0.62873,0.01843,0.22872,0.63085,1.2474,1.27947,802.716,1027.05,255.496
78,0.01777,0.26601,0.61351,0.02041,0.23377,0.65821,0.01728,0.3402,0.66895,1.21957,1.23529,802.651,991.508,262.214
79,0.01396,0.25544,0.65944,0.02144,0.29877,0.62627,0.01444,0.37587,0.67058,1.16514,1.15808,802.629,929.508,165.719
80,0.01931,0.26375,0.65159,0.02436,0.30305,0.62817,0.01877,0.22951,0.6307,1.2937,1.34389,802.764,1078.82,329.044
81,0.01708,0.23506,0.654,0.01441,0.17635,0.64315,0.01873,0.36646,0.62593,1.06935,1.03487,802.5,830.486,68.7156
82,0.02281,0.37389,0.63739,0.02443,0.31699,0.62687,0.01365,0.23497,0.64401,1.12822,1.12033,802.595,899.174,149.695
83,0.0249,0.24151,0.62905,0.01376,0.21367,0.66424,0.02064,0.28171,0.65844,1.15525,1.14667,802.51,920.218,230.679
84,0.02036,0.36173,0.64612,0.02281,0.26607,0.65086,0.01211,0.19189,0.64472,1.16246,1.15591,802.615,927.747,172.343
85,0.02349,0.17572,0.64325,0.01278,0.26929,0.60442,0.01731,0.26964,0.67197,1.15258,1.15516,802.571,927.097,173.616
86,0.01887,0.22699,0.65754,0.01672,0.27811,0.62129,0.02168,0.33211,0.65608,1.22077,1.24256,802.707,997.409,228.886
87,0.01298,0.17417,0.61556,0.01669,0.25596,0.66661,0.01567,0.22273,0.60935,1.06981,1.03048,802.482,826.943,80.3442
88,0.01969,0.26006,0.65212,0.02314,0.29755,0.62754,0.01986,0.22276,0.63378,1.33751,1.40572,802.813,1128.53,374.007
89,0.01126,0.17062,0.62727,0.01742,0.21156,0.66637,0.01538,0.20256,0.61082,1.05487,1.01903,802.443,817.713,96.3425
90,0.01956,0.31639,0.62153,0.01119,0.26972,0.61467,0.01801,0.25196,0.67077,1.25439,1.28397,802.761,1030.72,258.371
91,0.01864,0.32182,0.63175,0.01562,0.37747,0.60674,0.01285,0.28195,0.66784,1.08291,1.04934,802.525,842.123,88.3851
92,0.02368,0.28481,0.62551,0.01441,0.20505,0.67471,0.01209,0.30076,0.66761,1.24558,1.27541,802.699,1023.77,278.649
93,0.01785,0.21547,0.66158,0.01928,0.25434,0.63263,0.0236,0.34717,0.65203,1.11183,1.0874,802.484,872.618,145.725
94,0.01956,0.22361,0.64492,0.01573,0.35228,0.65577,0.01383,0.29153,0.64339,1.12616,1.11162,802.591,892.176,127.118
95,0.01256,0.29327,0.67663,0.01389,0.33331,0.63969,0.02024,0.19032,0.66071,1.07866,1.04434,802.501,838.079,88.4282
96,0.01087,0.1625,0.6106,0.01304,0.28315,0.63469,0.01737,0.33213,0.64442,1.08209,1.04603,802.515,839.456,79.4635
97,0.01437,0.30715,0.65335,0.02003,0.29969,0.61229,0.01595,0.24508,0.63659,1.25871,1.28611,802.727,1032.4,291.284
98,0.0162,0.25136,0.61189,0.01999,0.19641,0.6541,0.0175,0.33017,0.65149,1.09887,1.08181,802.521,868.177,129.169
99,0.01495,0.37144,0.66417,0.0172,0.26871,0.63726,0.02295,0.3171,0.62116,1.16473,1.16185,802.64,932.548,166.49
100,0.01347,0.33001,0.67426,0.02107,0.19695,0.64551,0.01367,0.28987,0.63008,1.11673,1.09173,802.552,876.168,124.559
